,sentiment,partisan_lean,state,Age.Percent Under 5 Years,Age.Percent Under 18 Years,Age.Percent 65 and Older,Miscellaneous.Percent Female,Ethnicities.White Alone,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,Education.Bachelor's Degree or Higher,date,state percent vaccinated,state_rate_0,state_rate-7,state_rate+7,state_rate+14,US percent vaccinated,US_rate_0,US_rate-7,US_rate+7,US_rate+14,lottery
1,0.2854166666666666,0.6490891136066756,California,6.0,22.5,14.8,50.3,71.9,6.5,39.4,33.9,2021-06-24,60.47,2883.0,4615.0,3369.0,1936.0,54.72,1950.0,2690.0,1704.0,1356.0,True
9,0.0,0.4250657174436865,Kansas,6.4,24.0,16.3,50.2,86.3,6.1,12.2,33.4,2021-06-24,48.68,1447.0,2298.0,1957.0,1064.0,54.72,1950.0,2690.0,1704.0,1356.0,0
10,0.0,0.4931581746681328,North Carolina,5.8,21.9,16.7,51.4,70.6,22.2,9.8,31.3,2021-06-24,44.88,1415.0,1857.0,9806.0,1236.0,54.72,1950.0,2690.0,1704.0,1356.0,0
13,0.0,0.3817222962793364,Tennessee,6.0,22.1,16.7,51.2,78.4,17.1,5.7,27.3,2021-06-24,41.13,1663.0,3073.0,1972.0,4704.0,54.72,1950.0,2690.0,1704.0,1356.0,0
19,0.0,0.5363951364856667,Minnesota,6.2,23.1,16.3,50.2,83.8,7.0,5.6,36.1,2021-06-24,56.51,2033.0,3131.0,2744.0,1095.0,54.72,1950.0,2690.0,1704.0,1356.0,0
28,-0.1638888888888889,0.4931581746681328,North Carolina,5.8,21.9,16.7,51.4,70.6,22.2,9.8,31.3,2021-06-24,44.88,1415.0,1857.0,9806.0,1236.0,54.72,1950.0,2690.0,1704.0,1356.0,0
34,0.0166666666666666,0.5363951364856667,Minnesota,6.2,23.1,16.3,50.2,83.8,7.0,5.6,36.1,2021-06-24,56.51,2033.0,3131.0,2744.0,1095.0,54.72,1950.0,2690.0,1704.0,1356.0,0
43,-0.3125,0.5011932966290864,Georgia,6.2,23.6,14.3,51.4,60.2,32.6,9.9,31.3,2021-06-24,42.51,1675.0,2183.0,3012.0,1400.0,54.72,1950.0,2690.0,1704.0,1356.0,0
49,0.3238095238095238,0.599255031847907,Washington,6.0,21.8,15.9,49.9,78.5,4.4,13.0,36.0,2021-06-24,60.45,3136.0,5428.0,3383.0,2405.0,54.72,1950.0,2690.0,1704.0,1356.0,True
62,0.5,0.6171683489301224,New York,5.8,20.7,16.9,51.4,69.6,17.6,19.3,36.6,2021-06-24,59.32,2954.0,5119.0,3224.0,1892.0,54.72,1950.0,2690.0,1704.0,1356.0,False
